Locality 0,Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,change 2010-2020,Growth PA
MACEDON,Macedon," $473,000 "," $434,500 "," $525,000 "," $490,000 "," $460,000 "," $532,500 "," $585,000 "," $696,000 "," $815,000 "," $800,000 "," $883,000 ",87,6.4
MACLEOD,Macleod," $645,000 "," $600,000 "," $555,000 "," $647,500 "," $705,000 "," $755,000 "," $868,000 "," $950,000 "," $922,500 "," $922,500 "," $970,000 ",50,4.2
MADDINGLEY,Maddingley," $292,500 "," $300,000 "," $308,000 "," $316,500 "," $320,000 "," $332,500 "," $346,000 "," $395,000 "," $442,000 "," $460,000 "," $520,000 ",78,5.9
MAFFRA,Maffra," $230,500 "," $230,000 "," $235,000 "," $229,000 "," $215,000 "," $230,000 "," $258,000 "," $251,500 "," $261,500 "," $255,000 "," $315,000 ",37,3.2
MAIDEN GULLY,Maiden Gully," $385,000 "," $408,500 "," $422,500 "," $440,000 "," $415,000 "," $430,000 "," $477,000 "," $471,000 "," $495,500 "," $514,000 "," $585,000 ",52,4.3
MAIDSTONE,Maidstone," $563,500 "," $540,000 "," $499,000 "," $535,000 "," $587,500 "," $630,000 "," $695,000 "," $825,000 "," $798,500 "," $790,000 "," $780,000 ",38,3.3
MALDON,Maldon," $280,000 "," $267,500 "," $272,500 "," $315,000 "," $325,000 "," $339,000 "," $395,000 "," $426,500 "," $420,000 "," $510,000 "," $545,000 ",95,6.9
MALLACOOTA,Mallacoota," $300,000 "," $263,000 "," $267,500 "," $285,000 "," $285,000 "," $288,500 "," $322,500 "," $345,000 "," $280,000 "," $406,500 "," $407,500 ",36,3.1
MALMSBURY,Malmsbury," $314,000 "," $300,000 "," $332,500 "," $292,500 "," $317,500 "," $397,500 "," $344,000 "," $447,000 "," $462,000 "," $475,000 "," $470,000 ",50,4.1
MALVERN,Malvern," $1,741,500 "," $1,542,500 "," $1,550,000 "," $1,508,500 "," $1,946,000 "," $2,230,000 "," $2,328,500 "," $2,750,000 "," $2,661,000 "," $2,570,000 "," $2,748,000 ",58,4.7
MALVERN EAST,Malvern East," $1,188,000 "," $1,120,000 "," $1,039,000 "," $1,200,000 "," $1,380,000 "," $1,610,000 "," $1,729,000 "," $1,824,000 "," $1,900,000 "," $1,789,000 "," $1,865,000 ",57,4.6
MANIFOLD HEIGHTS,Manifold Heights," $401,000 "," $449,000 "," $425,000 "," $532,500 "," $489,000 "," $489,500 "," $620,000 "," $721,500 "," $785,500 "," $715,000 "," $815,000 ",103,7.3
MANOR LAKES,Manor Lakes," $348,500 "," $360,000 "," $345,000 "," $340,500 "," $360,000 "," $385,000 "," $417,500 "," $490,000 "," $526,000 "," $533,000 "," $570,000 ",64,5.1
MANSFIELD,Mansfield," $280,000 "," $301,500 "," $315,000 "," $364,000 "," $347,000 "," $367,500 "," $359,000 "," $385,000 "," $430,000 "," $450,000 "," $510,000 ",82,6.2
MARIBYRNONG,Maribyrnong," $705,000 "," $645,000 "," $646,000 "," $714,000 "," $750,500 "," $837,500 "," $940,000 "," $1,056,000 "," $1,028,500 "," $961,500 "," $935,000 ",33,2.9
MARONG,Marong," $257,500 "," $285,000 "," $312,500 "," $310,000 "," $345,000 "," $364,000 "," $330,000 "," $348,000 "," $365,000 "," $420,000 "," $465,000 ",81,6.1
MARSHALL,Marshall," $367,500 "," $322,500 "," $365,000 "," $360,000 "," $382,500 "," $377,000 "," $400,000 "," $430,000 "," $468,000 "," $486,500 "," $510,000 ",39,3.3
MARYBOROUGH,Maryborough," $160,000 "," $180,000 "," $184,000 "," $194,000 "," $200,000 "," $192,500 "," $206,500 "," $194,000 "," $229,500 "," $236,000 "," $267,000 ",67,5.3
MARYSVILLE,Marysville," $340,000 "," $395,500 "," $145,000 "," $180,000 "," $125,000 "," $320,000 "," $332,500 "," $383,000 "," $477,500 "," $462,500 "," $465,000 ",37,3.2
MCCRAE,Mccrae," $560,000 "," $623,000 "," $555,000 "," $530,000 "," $535,000 "," $597,500 "," $689,000 "," $775,000 "," $847,500 "," $795,000 "," $952,500 ",70,5.5
MCKENZIE HILL,Mckenzie Hill," $350,000 "," $394,000 "," $465,000 "," $397,000 "," $140,000 "," $429,500 "," $475,000 "," $471,500 "," $495,000 "," $536,500 "," $544,500 ",56,4.5
MCKINNON,Mckinnon," $970,000 "," $925,000 "," $944,000 "," $1,025,000 "," $1,220,000 "," $1,500,000 "," $1,657,500 "," $1,720,000 "," $1,555,000 "," $1,516,000 "," $1,680,000 ",73,5.6
MCLOUGHLINS BEACH,Mcloughlins Beach," $149,000 "," $152,500 "," $151,500 "," $145,500 "," $169,500 "," $145,000 "," $180,000 "," $110,000 "," $191,000 "," $210,000 "," $205,000 ",38,3.2
MEADOW HEIGHTS,Meadow Heights," $345,000 "," $321,500 "," $315,000 "," $317,000 "," $322,500 "," $350,500 "," $370,000 "," $451,000 "," $510,000 "," $474,000 "," $499,000 ",45,3.8
MEENIYAN,Meeniyan," $180,000 "," $230,000 "," $216,500 "," $199,000 "," $223,500 "," $242,500 "," $270,000 "," $244,500 "," $292,500 "," $424,500 "," $349,500 ",94,6.9
MELTON,Melton," $250,000 "," $256,000 "," $250,000 "," $245,000 "," $240,000 "," $255,000 "," $280,500 "," $368,500 "," $415,000 "," $385,000 "," $390,000 ",56,4.5
MELTON SOUTH,Melton South," $248,500 "," $247,000 "," $230,000 "," $230,000 "," $238,000 "," $260,000 "," $276,000 "," $377,000 "," $417,000 "," $390,000 "," $425,000 ",71,5.5
MELTON WEST,Melton West," $285,000 "," $300,000 "," $283,000 "," $285,500 "," $290,000 "," $295,000 "," $330,000 "," $409,000 "," $453,000 "," $428,000 "," $470,000 ",65,5.1
MENTONE,Mentone," $680,000 "," $692,500 "," $665,000 "," $705,000 "," $810,000 "," $950,000 "," $982,500 "," $1,097,500 "," $1,080,000 "," $1,031,000 "," $1,051,000 ",55,4.5
MERBEIN,Merbein," $161,000 "," $157,000 "," $142,500 "," $140,500 "," $167,000 "," $180,000 "," $170,000 "," $183,500 "," $180,000 "," $210,000 "," $200,000 ",24,2.2
MERINDA PARK,Merinda Park," $300,000 "," $307,500 "," $285,000 "," $310,000 "," $310,000 "," $345,000 "," $385,000 "," $471,500 "," $523,000 "," $476,000 "," $527,500 ",76,5.8
MERNDA,Mernda," $390,000 "," $397,000 "," $374,500 "," $375,000 "," $370,000 "," $410,000 "," $430,000 "," $525,500 "," $573,500 "," $552,000 "," $570,500 ",46,3.9
MERRIJIG (MANSFIELD),Merrijig (Mansfield)," $287,500 "," $342,500 "," $272,500 "," $332,500 "," $390,000 "," $292,500 "," $344,000 "," $420,000 "," $461,000 "," $422,500 "," $619,000 ",115,8
METUNG,Metung," $302,000 "," $267,500 "," $350,000 "," $337,500 "," $287,500 "," $299,000 "," $360,000 "," $347,500 "," $371,500 "," $440,000 "," $450,000 ",49,4.1
MIDDLE PARK,Middle Park," $1,512,500 "," $1,345,000 "," $1,420,500 "," $1,587,500 "," $2,125,000 "," $2,317,000 "," $2,238,500 "," $2,370,000 "," $2,685,000 "," $2,775,000 "," $2,652,500 ",75,5.8
MILDURA,Mildura," $220,000 "," $222,000 "," $225,000 "," $225,500 "," $245,000 "," $252,000 "," $260,000 "," $264,000 "," $281,500 "," $310,000 "," $336,000 ",53,4.3
MILL PARK,Mill Park," $420,000 "," $410,000 "," $405,000 "," $408,000 "," $430,500 "," $480,000 "," $560,000 "," $668,500 "," $657,000 "," $653,000 "," $690,000 ",64,5.1
MILLGROVE,Millgrove," $234,000 "," $235,000 "," $235,000 "," $245,000 "," $260,000 "," $275,000 "," $293,500 "," $343,000 "," $411,000 "," $415,000 "," $425,000 ",82,6.1
MINERS REST,Miners Rest," $320,000 "," $339,000 "," $325,000 "," $330,000 "," $327,500 "," $335,000 "," $334,000 "," $370,000 "," $400,000 "," $427,500 "," $440,000 ",38,3.2
MINYIP,Minyip," $85,000 "," $82,500 "," $81,000 "," $73,500 "," $95,000 "," $93,000 "," $82,500 "," $94,000 "," $81,000 "," $114,500 "," $75,000 ",-12,-1.2
MIRBOO NORTH,Mirboo North," $244,000 "," $257,000 "," $252,000 "," $265,000 "," $250,000 "," $262,000 "," $275,000 "," $264,000 "," $307,500 "," $327,500 "," $375,000 ",54,4.4
MITCHAM,Mitcham," $635,000 "," $595,000 "," $584,500 "," $650,000 "," $730,000 "," $885,500 "," $941,000 "," $1,070,000 "," $1,000,000 "," $942,000 "," $1,065,000 ",68,5.3
MITCHELL PARK,Mitchell Park," $257,000 "," $247,500 "," $270,000 "," $267,000 "," $267,500 "," $260,000 "," $259,000 "," $263,000 "," $304,500 "," $313,000 "," $330,000 ",28,2.5
MOE,Moe," $150,000 "," $165,000 "," $165,000 "," $155,000 "," $170,000 "," $162,500 "," $173,000 "," $175,000 "," $200,000 "," $210,000 "," $250,000 ",67,5.2
MONBULK,Monbulk," $420,000 "," $392,500 "," $380,000 "," $395,000 "," $425,000 "," $471,500 "," $521,500 "," $608,000 "," $650,000 "," $630,000 "," $650,000 ",55,4.5
MONT ALBERT,Mont Albert," $1,310,000 "," $1,310,000 "," $1,177,500 "," $1,316,000 "," $1,490,000 "," $1,863,000 "," $1,921,000 "," $2,100,000 "," $1,990,000 "," $1,690,000 "," $2,200,000 ",68,5.3
MONT ALBERT NORTH,Mont Albert North," $965,000 "," $850,500 "," $780,000 "," $995,000 "," $1,100,000 "," $1,400,000 "," $1,490,000 "," $1,565,000 "," $1,460,000 "," $1,380,000 "," $1,400,000 ",45,3.8
MONTMORENCY,Montmorency," $580,000 "," $560,000 "," $561,000 "," $570,000 "," $614,000 "," $732,000 "," $780,500 "," $890,000 "," $926,000 "," $856,000 "," $916,500 ",58,4.7
MONTROSE,Montrose," $440,000 "," $435,000 "," $426,000 "," $445,000 "," $476,500 "," $559,000 "," $625,000 "," $700,500 "," $737,500 "," $707,500 "," $728,000 ",65,5.2
MOONEE PONDS,Moonee Ponds," $852,500 "," $780,500 "," $775,000 "," $830,500 "," $920,000 "," $1,006,000 "," $1,110,500 "," $1,310,000 "," $1,360,000 "," $1,300,000 "," $1,290,000 ",51,4.2
MOORABBIN,Moorabbin," $710,000 "," $657,000 "," $631,000 "," $682,000 "," $768,000 "," $855,000 "," $980,000 "," $1,160,000 "," $1,130,000 "," $1,065,000 "," $1,075,000 ",51,4.2
MOOROOLBARK,Mooroolbark," $445,000 "," $435,000 "," $425,000 "," $440,000 "," $465,000 "," $558,500 "," $620,000 "," $726,000 "," $720,000 "," $670,000 "," $720,500 ",62,4.9
MOOROOPNA,Mooroopna," $222,000 "," $215,000 "," $217,500 "," $207,500 "," $215,000 "," $230,000 "," $215,500 "," $225,000 "," $230,000 "," $247,500 "," $265,000 ",19,1.8
MORDIALLOC,Mordialloc," $650,000 "," $660,000 "," $642,500 "," $680,000 "," $755,000 "," $850,000 "," $933,000 "," $1,120,000 "," $1,046,500 "," $1,017,500 "," $1,045,000 ",61,4.9
MORNINGTON,Mornington," $512,000 "," $525,000 "," $501,500 "," $525,000 "," $558,000 "," $641,000 "," $745,000 "," $800,000 "," $850,000 "," $807,000 "," $890,000 ",74,5.7
MORTLAKE,Mortlake," $150,000 "," $146,000 "," $152,000 "," $129,500 "," $152,500 "," $120,000 "," $152,000 "," $170,000 "," $165,000 "," $164,000 "," $220,000 ",47,3.9
MORWELL,Morwell," $152,500 "," $158,500 "," $150,500 "," $160,000 "," $150,000 "," $150,000 "," $153,000 "," $170,000 "," $167,000 "," $179,000 "," $200,500 ",32,2.8
MOUNT BEAUTY,Mount Beauty," $195,000 "," $173,000 "," $140,000 "," $180,000 "," $200,000 "," $189,500 "," $183,000 "," $258,000 "," $267,500 "," $294,000 "," $317,000 ",63,5
MOUNT CLEAR,Mount Clear," $265,000 "," $287,000 "," $305,000 "," $286,000 "," $288,000 "," $322,500 "," $345,000 "," $345,000 "," $379,000 "," $396,500 "," $413,000 ",56,4.5
MOUNT DANDENONG,Mount Dandenong," $476,000 "," $447,500 "," $476,500 "," $450,000 "," $610,000 "," $612,500 "," $641,000 "," $847,000 "," $647,500 "," $690,000 "," $791,000 ",66,5.2
MOUNT DUNEED,Mount Duneed," $267,000 "," $190,000 "," $480,000 "," $286,000 "," $532,000 "," $545,000 "," $425,000 "," $500,000 "," $555,000 "," $557,000 "," $595,000 ",123,8.3
MOUNT ELIZA,Mount Eliza," $732,000 "," $725,000 "," $680,000 "," $750,000 "," $777,500 "," $832,000 "," $950,000 "," $1,137,500 "," $1,222,500 "," $1,180,000 "," $1,301,500 ",78,5.9
MOUNT EVELYN,Mount Evelyn," $390,500 "," $400,000 "," $393,000 "," $406,000 "," $428,500 "," $493,500 "," $551,000 "," $640,000 "," $671,500 "," $636,000 "," $710,000 ",82,6.2
MOUNT HELEN,Mount Helen," $311,000 "," $355,000 "," $325,000 "," $344,000 "," $368,000 "," $342,000 "," $355,000 "," $376,000 "," $420,000 "," $417,000 "," $470,000 ",51,4.2
MOUNT MACEDON,Mount Macedon," $520,000 "," $512,500 "," $543,000 "," $662,500 "," $600,000 "," $635,000 "," $750,000 "," $665,000 "," $859,000 "," $775,000 "," $1,043,000 ",101,7.2
MOUNT MARTHA,Mount Martha," $705,500 "," $690,000 "," $715,500 "," $727,500 "," $745,000 "," $785,000 "," $965,000 "," $1,050,000 "," $1,202,500 "," $1,262,500 "," $1,400,500 ",99,7.1
MOUNT PLEASANT,Mount Pleasant," $239,000 "," $248,500 "," $259,000 "," $276,500 "," $269,500 "," $293,500 "," $297,500 "," $293,000 "," $350,000 "," $377,500 "," $412,500 ",73,5.6
MOUNT WAVERLEY,Mount Waverley," $806,000 "," $745,000 "," $733,000 "," $820,000 "," $950,000 "," $1,268,000 "," $1,265,000 "," $1,416,000 "," $1,320,000 "," $1,270,000 "," $1,296,500 ",61,4.9
MULGRAVE,Mulgrave," $550,000 "," $531,000 "," $533,000 "," $577,500 "," $627,000 "," $765,500 "," $786,000 "," $900,500 "," $860,000 "," $840,000 "," $834,500 ",52,4.3
MURCHISON,Murchison," $175,000 "," $165,000 "," $183,000 "," $186,000 "," $155,000 "," $165,000 "," $187,000 "," $254,500 "," $225,000 "," $244,500 "," $291,500 ",67,5.2
MURRUMBEENA,Murrumbeena," $835,000 "," $822,000 "," $785,000 "," $870,000 "," $982,500 "," $1,204,000 "," $1,286,000 "," $1,420,000 "," $1,350,000 "," $1,243,000 "," $1,410,500 ",69,5.4
MURTOA,Murtoa," $85,000 "," $133,000 "," $108,500 "," $95,000 "," $110,000 "," $91,000 "," $97,500 "," $115,000 "," $110,000 "," $119,000 "," $136,500 ",61,4.9
MYRTLEFORD,Myrtleford," $179,000 "," $219,000 "," $220,000 "," $220,000 "," $245,000 "," $242,000 "," $270,500 "," $265,000 "," $295,000 "," $325,000 "," $382,500 ",114,7.9
NAGAMBIE,Nagambie," $351,500 "," $248,000 "," $255,000 "," $312,500 "," $378,000 "," $360,500 "," $336,000 "," $330,000 "," $385,000 "," $414,000 "," $460,000 ",31,2.7
NARRE WARREN,Narre Warren," $368,500 "," $365,000 "," $356,000 "," $370,000 "," $386,000 "," $430,000 "," $486,500 "," $590,000 "," $614,000 "," $589,000 "," $610,000 ",66,5.2
NARRE WARREN NORTH,Narre Warren North," $690,000 "," $726,500 "," $660,000 "," $685,000 "," $822,500 "," $773,000 "," $900,000 "," $1,108,000 "," $1,180,000 "," $1,100,000 "," $1,167,500 ",69,5.4
NARRE WARREN SOUTH,Narre Warren South," $405,000 "," $405,000 "," $405,000 "," $410,000 "," $440,000 "," $476,000 "," $530,000 "," $620,000 "," $636,500 "," $625,000 "," $660,000 ",63,5
NATHALIA,Nathalia," $155,000 "," $150,000 "," $205,000 "," $165,000 "," $190,500 "," $178,000 "," $185,000 "," $232,500 "," $210,000 "," $229,000 "," $250,000 ",61,4.9
NEERIM SOUTH,Neerim South," $240,000 "," $260,000 "," $265,000 "," $340,000 "," $336,500 "," $280,000 "," $330,000 "," $320,000 "," $406,500 "," $413,000 "," $487,000 ",103,7.3
NELSON,Nelson," $266,500 "," $240,000 "," $205,000 "," $224,000 "," $203,500 "," $257,500 "," $220,000 "," $249,500 "," $255,000 "," $247,500 "," $210,000 ",-21,-2.4
NERRINA,Nerrina," $381,000 "," $387,000 "," $467,500 "," $455,000 "," $482,500 "," $522,500 "," $517,500 "," $570,000 "," $575,000 "," $617,500 "," $635,000 ",67,5.2
NEW GISBORNE,New Gisborne," $465,000 "," $492,000 "," $475,000 "," $500,000 "," $510,000 "," $498,000 "," $545,000 "," $625,000 "," $757,500 "," $695,000 "," $721,500 ",55,4.5
NEWBOROUGH,Newborough," $192,500 "," $187,000 "," $213,500 "," $213,000 "," $215,000 "," $220,000 "," $224,500 "," $220,000 "," $250,000 "," $255,000 "," $290,000 ",51,4.2
NEWCOMB,Newcomb," $280,000 "," $275,000 "," $275,000 "," $280,000 "," $292,000 "," $290,500 "," $310,000 "," $375,000 "," $453,500 "," $435,000 "," $476,000 ",70,5.5
NEWINGTON,Newington," $290,500 "," $290,000 "," $300,000 "," $320,000 "," $341,000 "," $345,000 "," $372,500 "," $422,500 "," $465,000 "," $490,000 "," $735,000 ",153,9.7
NEWLANDS ARM,Newlands Arm," $300,000 "," $332,000 "," $325,000 "," $320,000 "," $302,000 "," $332,500 "," $380,000 "," $380,000 "," $367,500 "," $443,000 "," $470,000 ",57,4.6
NEWPORT,Newport," $655,000 "," $680,000 "," $630,000 "," $695,000 "," $740,000 "," $825,000 "," $950,000 "," $1,080,000 "," $1,059,000 "," $1,055,000 "," $1,100,000 ",68,5.3
NEWSTEAD,Newstead," $237,500 "," $243,000 "," $252,000 "," $300,000 "," $297,500 "," $365,000 "," $362,000 "," $420,000 "," $318,500 "," $436,000 "," $470,000 ",98,7.1
NEWTOWN (GREATER GEELONG),Newtown (Greater Geelong)," $559,500 "," $533,000 "," $527,500 "," $570,000 "," $620,000 "," $642,500 "," $712,500 "," $780,000 "," $843,000 "," $832,000 "," $945,000 ",69,5.4
NHILL,Nhill," $101,500 "," $107,000 "," $110,000 "," $110,000 "," $125,000 "," $128,000 "," $140,000 "," $126,500 "," $149,000 "," $137,000 "," $158,500 ",56,4.6
NICHOLS POINT,Nichols Point," $217,500 "," $311,500 "," $232,000 "," $316,500 "," $304,000 "," $370,000 "," $396,000 "," $346,000 "," $470,000 "," $430,000 "," $475,000 ",118,8.1
NIDDRIE,Niddrie," $740,000 "," $742,500 "," $666,000 "," $700,000 "," $747,500 "," $832,500 "," $910,000 "," $1,095,000 "," $1,070,000 "," $1,070,000 "," $975,000 ",32,2.8
NOBLE PARK,Noble Park," $415,000 "," $410,000 "," $382,000 "," $400,000 "," $440,000 "," $510,000 "," $600,000 "," $680,000 "," $680,000 "," $625,500 "," $674,000 ",62,5
NOBLE PARK NORTH,Noble Park North," $415,000 "," $395,000 "," $370,000 "," $383,000 "," $420,000 "," $491,500 "," $563,000 "," $640,000 "," $660,000 "," $610,000 "," $655,500 ",58,4.7
NORLANE,Norlane," $190,500 "," $203,000 "," $206,500 "," $202,500 "," $215,000 "," $216,000 "," $236,500 "," $290,000 "," $355,000 "," $350,000 "," $372,000 ",95,6.9
NORTH BENDIGO,North Bendigo," $218,000 "," $230,000 "," $267,000 "," $271,000 "," $280,000 "," $286,000 "," $279,000 "," $302,000 "," $310,000 "," $325,000 "," $375,000 ",72,5.6
NORTH GEELONG,North Geelong," $304,000 "," $292,500 "," $286,500 "," $277,000 "," $301,000 "," $335,000 "," $338,500 "," $422,000 "," $495,000 "," $500,000 "," $551,000 ",81,6.1
NORTH MELBOURNE,North Melbourne," $805,000 "," $750,000 "," $775,000 "," $802,500 "," $832,000 "," $926,000 "," $1,200,000 "," $1,390,000 "," $1,182,500 "," $1,352,500 "," $1,135,000 ",41,3.5
NORTH WONTHAGGI,North Wonthaggi," $285,000 "," $284,000 "," $256,000 "," $230,000 "," $268,500 "," $274,500 "," $259,500 "," $294,000 "," $369,000 "," $389,000 "," $417,000 ",46,3.9
NORTHCOTE,Northcote," $822,000 "," $780,000 "," $786,000 "," $818,000 "," $935,000 "," $1,008,500 "," $1,190,000 "," $1,325,000 "," $1,345,000 "," $1,303,500 "," $1,413,000 ",72,5.6
NOTTING HILL,Notting Hill," $563,000 "," $525,500 "," $547,000 "," $566,500 "," $660,000 "," $780,000 "," $872,500 "," $993,000 "," $957,500 "," $880,000 "," $940,000 ",67,5.3
NUMURKAH,Numurkah," $178,000 "," $190,500 "," $200,500 "," $195,000 "," $215,000 "," $219,000 "," $195,000 "," $219,000 "," $225,000 "," $250,000 "," $238,000 ",34,2.9
NUNAWADING,Nunawading," $641,000 "," $585,000 "," $591,500 "," $637,500 "," $721,500 "," $880,000 "," $970,000 "," $1,090,000 "," $986,000 "," $951,000 "," $1,039,000 ",62,5
NYAH WEST,Nyah West," $97,500 "," $70,000 "," $116,500 "," $94,000 "," $107,500 "," $146,500 "," $130,000 "," $133,500 "," $136,000 "," $85,000 "," $129,000 ",32,2.8
NYORA,Nyora," $237,500 "," $216,500 "," $225,000 "," $222,500 "," $265,000 "," $245,000 "," $300,000 "," $260,000 "," $340,000 "," $370,000 "," $530,000 ",123,8.4
OAK PARK,Oak Park," $641,000 "," $590,000 "," $540,000 "," $576,500 "," $626,000 "," $660,000 "," $822,500 "," $853,500 "," $878,500 "," $840,000 "," $903,000 ",41,3.5
OAKLEIGH,Oakleigh," $741,000 "," $700,000 "," $645,000 "," $753,500 "," $801,500 "," $1,002,000 "," $1,050,000 "," $1,210,000 "," $1,250,000 "," $1,101,000 "," $1,200,000 ",62,4.9
OAKLEIGH EAST,Oakleigh East," $675,000 "," $640,000 "," $610,000 "," $672,000 "," $820,000 "," $995,000 "," $983,000 "," $1,195,000 "," $992,500 "," $950,000 "," $986,000 ",46,3.9
OAKLEIGH SOUTH,Oakleigh South," $630,000 "," $615,000 "," $590,000 "," $603,000 "," $700,000 "," $830,000 "," $890,000 "," $1,030,000 "," $960,000 "," $910,500 "," $980,000 ",56,4.5
OCEAN GROVE,Ocean Grove," $427,500 "," $479,000 "," $465,000 "," $459,000 "," $515,000 "," $516,500 "," $555,000 "," $637,000 "," $691,000 "," $695,000 "," $782,000 ",83,6.2
OFFICER,Officer," $385,000 "," $396,000 "," $429,000 "," $342,000 "," $339,000 "," $375,000 "," $440,000 "," $480,000 "," $548,000 "," $545,500 "," $590,000 ",53,4.4
OLINDA,Olinda," $452,500 "," $520,000 "," $445,000 "," $496,000 "," $520,000 "," $553,500 "," $620,000 "," $705,000 "," $760,000 "," $746,500 "," $757,500 ",67,5.3
OMEO,Omeo," $179,000 "," $162,500 "," $170,000 "," $210,000 "," $190,000 "," $212,500 "," $150,000 "," $183,000 "," $183,500 "," $250,000 "," $238,000 ",33,2.9
ORBOST,Orbost," $181,000 "," $151,500 "," $150,000 "," $156,000 "," $150,000 "," $145,000 "," $162,500 "," $159,000 "," $165,000 "," $185,500 "," $220,000 ",22,2
ORMOND,Ormond," $970,000 "," $912,500 "," $857,500 "," $997,500 "," $1,187,500 "," $1,300,000 "," $1,550,000 "," $1,604,500 "," $1,600,000 "," $1,475,000 "," $1,590,000 ",64,5.1
OSBORNE,Osborne," $469,000 "," $488,500 "," $507,500 "," $530,000 "," $540,500 "," $580,000 "," $640,000 "," $735,000 "," $757,000 "," $777,500 "," $851,500 ",82,6.1
OUYEN,Ouyen," $103,000 "," $110,000 "," $116,500 "," $75,000 "," $77,500 "," $105,500 "," $130,000 "," $130,000 "," $93,000 "," $99,000 "," $121,000 ",17,1.6
PAKENHAM,Pakenham," $335,000 "," $340,000 "," $335,000 "," $335,000 "," $350,000 "," $367,000 "," $400,000 "," $470,000 "," $520,000 "," $486,000 "," $526,000 ",57,4.6
PARADISE BEACH,Paradise Beach," $152,500 "," $159,500 "," $212,500 "," $163,500 "," $178,000 "," $188,500 "," $200,000 "," $180,000 "," $199,000 "," $200,000 "," $248,000 ",63,5
PARK ORCHARDS,Park Orchards," $945,000 "," $942,500 "," $953,000 "," $952,500 "," $1,103,000 "," $1,225,000 "," $1,335,000 "," $1,450,000 "," $1,480,000 "," $1,510,000 "," $1,515,000 ",60,4.8
PARKDALE,Parkdale," $755,000 "," $755,500 "," $677,000 "," $760,000 "," $860,000 "," $965,000 "," $1,100,000 "," $1,300,000 "," $1,245,000 "," $1,157,500 "," $1,200,000 ",59,4.7
PARKVILLE,Parkville," $1,335,000 "," $1,100,000 "," $1,360,000 "," $1,200,000 "," $1,525,000 "," $1,360,500 "," $2,130,000 "," $2,375,000 "," $2,430,000 "," $1,480,000 "," $1,725,000 ",29,2.6
PASCOE VALE,Pascoe Vale," $609,000 "," $575,000 "," $540,000 "," $580,000 "," $655,000 "," $720,000 "," $805,000 "," $891,000 "," $901,000 "," $855,000 "," $930,000 ",53,4.3
PASCOE VALE SOUTH,Pascoe Vale South," $655,000 "," $612,500 "," $627,500 "," $645,500 "," $701,000 "," $745,000 "," $840,000 "," $975,000 "," $955,000 "," $950,000 "," $1,006,000 ",54,4.4
PATTERSON GARDENS,Patterson Gardens," $582,500 "," $605,000 "," $610,000 "," $620,000 "," $672,000 "," $739,000 "," $812,000 "," $885,000 "," $890,000 "," $920,000 "," $970,000 ",67,5.2
PATTERSON LAKES,Patterson Lakes," $621,000 "," $625,000 "," $730,000 "," $645,000 "," $734,000 "," $787,500 "," $810,000 "," $1,021,500 "," $1,025,000 "," $925,000 "," $1,100,000 ",77,5.9
PAYNESVILLE,Paynesville," $290,000 "," $323,500 "," $290,000 "," $283,000 "," $300,000 "," $302,500 "," $308,000 "," $335,000 "," $353,000 "," $340,000 "," $392,500 ",35,3.1
PEARCEDALE,Pearcedale," $390,000 "," $405,000 "," $425,000 "," $385,000 "," $445,000 "," $470,000 "," $534,000 "," $607,000 "," $660,000 "," $660,000 "," $665,000 ",71,5.5
PETERBOROUGH,Peterborough," $291,500 "," $410,000 "," $333,000 "," $287,500 "," $307,500 "," $296,500 "," $340,000 "," $315,000 "," $450,000 "," $419,000 "," $550,000 ",89,6.6
PIONEER BAY,Pioneer Bay," $235,000 "," $197,500 "," $235,000 "," $200,000 "," $220,000 "," $240,000 "," $216,000 "," $271,500 "," $308,000 "," $310,000 "," $355,000 ",51,4.2
PLENTY,Plenty," $900,000 "," $730,000 "," $770,000 "," $773,000 "," $750,000 "," $915,500 "," $935,000 "," $1,145,000 "," $1,350,000 "," $1,301,000 "," $1,202,500 ",34,2.9
POINT COOK,Point Cook," $435,000 "," $445,000 "," $435,000 "," $450,000 "," $445,000 "," $465,000 "," $505,000 "," $590,000 "," $630,000 "," $640,000 "," $667,000 ",53,4.4
POINT LONSDALE,Point Lonsdale," $695,000 "," $670,000 "," $700,000 "," $700,000 "," $707,500 "," $655,000 "," $641,000 "," $780,000 "," $840,000 "," $827,500 "," $880,000 ",27,2.4
POREPUNKAH,Porepunkah," $320,000 "," $276,000 "," $285,000 "," $347,000 "," $280,000 "," $323,000 "," $330,000 "," $447,000 "," $464,500 "," $530,000 "," $610,000 ",91,6.7
PORT ALBERT,Port Albert," $250,000 "," $180,000 "," $235,000 "," $262,500 "," $190,000 "," $197,500 "," $218,500 "," $270,000 "," $240,000 "," $250,000 "," $315,000 ",26,2.3
PORT FAIRY,Port Fairy," $392,000 "," $380,000 "," $410,000 "," $400,000 "," $425,000 "," $447,500 "," $473,500 "," $500,000 "," $651,000 "," $625,000 "," $663,000 ",69,5.4
PORT FRANKLIN,Port Franklin," $216,000 "," $205,000 "," $232,000 "," $190,000 "," $173,500 "," $277,500 "," $207,500 "," $280,000 "," $257,000 "," $302,500 "," $304,500 ",41,3.5
